id,scopus_id,doi,title,prompt_name,prompt_hash,model,temperature,llm_output,llm_label
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
,,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0025027050,SCOPUS_ID:0025027050,,,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0025121054,SCOPUS_ID:0025121054,10.2105/AJPH.80.9.1101,The effects of workplace health promotion on absenteeism and employment costs in a large industrial population,rerun3,81ef8d9ef044,deepseek-chat,0.1,"{""policy_claim"": false}",NO
