scopus_id,doi,title,journal,publication_year,keywords,abstract,llm_policy_claim
SCOPUS_ID:0031968704,10.2105/ajph.88.3.364,Insurance or a regular physician: Which is the most powerful predictor of health care?,American Journal Of Public Health,1998,,"Objectives. This study compared the relative effects on access to health care of relationship with a regular physician and insurance status. Methods. The subjects were 1952 nonretired, non-Medicare patients aged 18 to 64 years who presented with 1 of 6 chief complaints to 5 academic hospital emergency departments in Boston and Cambridge, Mass, during a 1-month study period in 1995. Access to care was evaluated by 3 measures: delay in seeking care for the current complaint, no physician visit in the previous year, and no emergency department visit in the previous year. Results. After clinical and socioeconomic characteristics were controlled, lacking a regular physician was a stronger, more consistent predictor than insurance status of delay in seeking care (odds ratio [OR] = 1.6, 95% confidence interval [CI] = 1.2, 2.1), no physician visit (OR = 4.5, 95% CI = 3.3, 6.1), and no emergency department visit (OR = 1.8, 95% CI = 1.4, 2.4). For patients with a regular physician, access was no different between the uninsured and the privately insured. For privately insured patients, those with no regular physician had worse access than those with a regular physician. Conclusions. Among patients presenting to emergency departments, relationship with a regular physician is a stronger predictor than insurance status of access to care.",False
SCOPUS_ID:84938780031,10.1093/aje/kwv064,"Analyzing seasonal variations in suicide with fourier poisson time-series regression: A registry-based study from Norway, 1969-2007",American Journal Of Epidemiology,2015,seasonal variation; suicide,"Seasonal variation in the number of suicides has long been acknowledged. It has been suggested that this seasonality has declined in recent years, but studies have generally used statistical methods incapable of confirming this. We examined all suicides occurring in Norway during 1969-2007 (more than 20,000 suicides in total) to establish whether seasonality decreased over time. Fitting of additive Fourier Poisson time-series regression models allowed for formal testing of a possible linear decrease in seasonality, or a reduction at a specific point in time, while adjusting for a possible smooth nonlinear long-term change without having to categorize time into discrete yearly units. The models were compared using Akaike's Information Criterion and analysis of variance. A model with a seasonal pattern was significantly superior to a model without one. There was a reduction in seasonality during the period. Both the model assuming a linear decrease in seasonality and the model assuming a change at a specific point in time were both superior to a model assuming constant seasonality, thus confirming by formal statistical testing that the magnitude of the seasonality in suicides has diminished. The additive Fourier Poisson time-series regression model would also be useful for studying other temporal phenomena with seasonal components.",False
SCOPUS_ID:7644239491,10.1016/j.ypmed.2004.05.013,A breast-feeding promotion and support program a randomized trial in the Netherlands,Preventive Medicine,2005,Attitude; Breast-feeding; I-change model; Self-efficacy; Social influences; Weaning,"Background. In the Netherlands, the initiation rate of breast-feeding (BF) was 80% in 2002, but only 35% of the mothers continued to breast-feed for 3 months. This study examined the effectiveness of a breast-feeding promotion program to increase the continuation of breast-feeding. Methods. A cluster-randomized intervention trial was used. Ten child health care centers in three regions of the home health care were randomly allocated to the program or usual care. Elements in the program were health counseling, measures to enhance cooperation, early signaling of breast-feeding problems and continuity of care, and lactation consultancy. Pregnant mothers who applied for home health care in the intervention or usual care regions were enrolled and were followed up from pregnancy until 6 months postpartum (n = 683). The primary outcome measure was the continuation of breast-feeding until at least 3 months. Results. The 3-month breast-feeding rate was 32% in the intervention and 38% in the control groups (OR = 0.79, 95% CI = 0.58-1.08). Conclusion. The program was not effective. We discuss possible explanations from the design and execution of the trial and give some points for improvement of our program, such as the categories of caregivers involved and the number and duration of contacts after parturition. © 2004 The Institute For Cancer Prevention and Elsevier Inc. All rights reserved.",False
SCOPUS_ID:0037764712,10.1093/eurpub/13.2.138,On the use of administrative databases to support planning activities: The case of the evaluation of neonatal case-mix in the Emilia-Romagna region using DRG and APR-DRG classification systems,European Journal Of Public Health,2003,Administrative data; DRG; Neonatal intensive care; Planning,"There are several versions of the Diagnosis Related Group (DRG) classification systems that are used for case-mix analysis, utilization review, prospective payment, and planning applications. The objective of this study was to assess the adequacy of two of these DRG systems - Medicare DRG and All Patient Refined DRG - to classify neonatal patients. The first part of the paper contains a descriptive analysis that outlines the major differences between the two systems in terms of classification logic and variables used in the assignment process. The second part examines the statistical performance of each system on the basis of the administrative data collected in all public hospitals of the Emilia-Romagna region relating to neonates discharged in 1997 and 1998. The Medicare. DRG are less developed in terms of classification structure and yield a poorer statistical performance in terms of reduction in variance for length of stay. This is important because, for specific areas, a more refined system can prove useful at regional level to remove systematic biases in the measurement of case-mix due to the structural characteristics of the Medicare DRGs classification system.",False
SCOPUS_ID:0035873404,10.1093/aje/153.10.969,Trends in nutrient intake of 10-year-old children over two decades (1973-1994): The Bogalusa heart study,American Journal Of Epidemiology,2001,Child nutrition; Diet; Energy intake; Fats; Nutrition surveys,"Dietary intakes of 10-year-old children were examined in seven cross-sectional surveys to observe secular trends in nutrient intake and food consumption patterns over 2 decades (1973-1994). Total energy intake remained unchanged from 1973 to 1994. However, when expressed as energy per kilogram body weight, intake decreased from 65.5 kcal in 1973 to 55.4 kcal in 1994 because children's weight increased. A significant trend was noted in ponderal index, which increased from 12.31 (1973-1974) to 13.71 (1992-1994), with an actual weight gain of 1.45 kg from 1973 to 1979 and 2.71 kg from 1981 to 1994. Linear trends also were noted for total fat (negative), saturated fat (negative), dietary cholesterol (negative), polyunsaturated fat (positive), and total carbohydrate (positive). There was a significant increase in percent energy from protein and carbohydrate and a significant decrease in percent energy from fat, primarily saturated and monounsaturated fat. Trends in nutrient intakes of children reflected trends in food consumption. The percentage of total fat from fats/oils, mixed meats, eggs, milk, pork, and desserts decreased, while that from poultry, cheese, and snacks increased. Although more children met dietary recommendations for total fat, saturated fat, and dietary cholesterol, the vast majority continued to exceed prudent diet recommendations.",False
SCOPUS_ID:0032523785,10.1093/oxfordjournals.aje.a009383,Exposure to environmental tobacco smoke and risk factors for heart disease among never smokers in the Third National Health and Nutrition Examination Survey,American Journal Of Epidemiology,1998,"Cardiovascular diseases; Cotinine; Environmental pollution, tobacco smoke; Heart diseases; Lipoproteins, HDL cholesterol; Risk factors","The relative risk of coronary artery disease among never smokers exposed to environmental tobacco smoke (ETS) versus never smokers not exposed to ETS is approximately 1.2 based on more than a dozen epidemiologic studies. Most of these studies have controlled for the major heart disease risk factors, but residual or uncontrolled confounding remains a possible explanation for the epidemiologic findings. The authors studied 3,338 never-smoking adults aged 17 years or older, who are representative of all US never smokers, in the 1988-1991 Third National Health and Nutrition Examination Survey (NHANES III) to determine whether selected risk factors for heart disease differ between ETS-exposed and -nonexposed persons. Both selfreported ETS exposure (at home and at work) and serum cotinine levels were available, the latter reflecting recent ETS exposure. After adjustments were made for age, sex, race, and education among adults aged 17 years or older, no significant differences were found between the ETS exposed and the nonexposed for any of 13 cardiovascular risk factors with the exception of dietary carotene, which was lower among the exposed. On the other hand, significant positive linear trends were found between serum cotinine and two risk factors (body mass index and alcohol consumption), and significant inverse trends were found with dietary carotene. There were also few differences between exposed and nonexposed never smokers among adults aged 40 years or older, who are most at risk of heart disease. In this group, however, there was an inverse linear trend between serum cotinine and high density lipoprotein cholesterol (p < 0.001). This finding could result from ETS exposure rather than be an indication of confounding; a similar inverse trend was found for children, confirming other results in the literature. Overall, these data suggest little potential for confounding by the heart disease risk factors studied here when ETS exposure is determined by self-report.",False
SCOPUS_ID:85121733067,10.1016/j.ypmed.2021.106934,Family's socioeconomic profile at birth and offspring mortality until midlife – The Northern Finland Birth Cohort 1966 study,Preventive Medicine,2022,Birth cohort; Cohort studies; Latent class analysis; Mortality; Parent-offspring linkage; Socioeconomic status,"Family's socioeconomic profile collected prenatally is known to predict offspring mortality during early life, but it remains unclear whether it has the potential to predict offspring mortality until later life. In this study, 12,063 individuals belonging to the Northern Finland Birth Cohort 1966 were followed up from mid-pregnancy for 52 years (570,000 person years). Five distinct socioeconomic profiles were identified by latent class analysis based on mother's marital status, education, and occupation; father's occupation; number of family members; location of residence, room count, and utilities; and family's wealth. The classes were highest status families (15.4% of the population), small families (22.1%), larger families (15.4%), average wealth families (23.4%), and rural families (23.3%). Their associations to offspring mortality, via linkage to national offspring death records, were analysed by Cox regression, stratified by sex and age groups (0—19, 20—38 and 40–52 years). In total, mortality was 9.2% among male and 5.0% among female offspring. Risk for midlife mortality was higher among male offspring from larger families (hazard ratio 2.19, 95% confidence interval 1.32—3.63), average wealth families (1.66, 1.02—2.73) and rural families (1.63, 1.00—2.68), relative to offspring from highest status families. It seems that family's socioeconomic profile constructed prenatally has predictive value for midlife mortality among male offspring. Premature mortality of men and women seem to be two distinct phenomena with differing underlying factors as socioeconomic profile was not associated with mortality among female offspring.",False
SCOPUS_ID:85087724115,10.1016/j.ypmed.2020.106176,History of child maltreatment and excessive dietary and screen time behaviors in young adults: Results from a nationally representative study,Preventive Medicine,2020,African Americans; Child abuse; Diet; Hispanic Americans; Obesity; Screen time; Stress,"Child maltreatment is common and has been associated with substance use addictions, yet few studies have examined associations with potentially addictive dietary and screen time behaviors. The goal of this study was to assess associations between retrospectively self-reported child maltreatment (sexual abuse, physical abuse, emotional abuse, and neglect) and excessive self-reported dietary (sugar sweetened beverage and fast food consumption) and screen time behaviors (television/video watching and leisure time computer use) in early adulthood, overall and by sex and race/ethnicity. Associations were examined using data from 10,813 participants 24–32 years old from the National Longitudinal Study of Adolescent to Adult Health. We used predicted marginal proportions accounting for the complex sample design to obtain prevalence ratios (PRs) and adjusted for demographic characteristics and physical activity. In females, exposure to poly-maltreatment (2+ types of child maltreatment) was associated with excessive sugar sweetened beverage consumption, television/video watching, and leisure time computer use; in males, exposure to poly-maltreatment was associated with excessive sugar sweetened beverage consumption, television/video watching, and fast food consumption. Some associations were particularly strong in racial/ethnic minorities, especially Latina females (poly-maltreatment-sugar sweetened beverage association: aPR = 6.14, 95% CI:2.12, 17.75; poly-maltreatment-computer use association: aPR = 3.08, 95% CI:1.44, 6.58). These findings show that child maltreatment is associated with excessive dietary and screen time behaviors into adulthood, and these associations are present in racial/ethnic groups at high risk of cardiometabolic disease. Extension of an addiction paradigm to include dietary and screen time behaviors may inform health risks and disease prevention efforts in child maltreatment survivors.",False
SCOPUS_ID:0242464932,10.1093/ije/dyg004,Relation of plasma folate and methylenetetrahydrofolate reductase C677T polymorphism to colorectal adenomas,International Journal Of Epidemiology,2003,Genetic polymorphism colorectal adenomas; Methylenetetrahydrofolate reductase; Plasma folate,"Background. Folate intake may be related to decreased risk of colorectal cancer and adenomas. Methylenetetrahydrofolate reductase (MTHFR) is a key regulatory enzyme in folate metabolism. We examined the relation between plasma folate status and colorectal adenomas with reference to effect modification by the genetic polymorphism (C677T) of MTHFR. Methods. Study subjects were middle-aged Japanese men: 177 cases of colorectal adenomas and 192 controls with normal total colonoscopy. Statistical adjustment was made for hospital, rank in the Self Defense Forces, alcohol use, smoking, and body mass index. Results. Plasma folate levels were slightly lower in adenoma cases than in controls. Adjusted odds ratio (OR) for high (>5.50 ng/ml) versus low plasma folate levels was 0.72 (95% CI: 0.46-1.14). As compared with subjects with the CC or CT genotype having low plasma folate levels, those with the TT genotype showed a decreased risk of colorectal adenomas when they had high levels of plasma folate (adjusted OR = 0.58, 95% CI: 0.21-1.61), and an increased risk when they had low folate levels (adjusted OR = 2.13, 95% CI: 0.82-5.54). There was no clear relation between plasma folate and colorectal adenomas among those with the CC or CT genotype. Conclusions. The findings suggest an interaction between folate and the MTHFR genotype on colorectal adenomas.",False
SCOPUS_ID:0025848976,10.2105/ajph.81.5.592,Benzodiazepine anti-anxiety agents: Prevalence and correlates of use in a southern community,American Journal Of Public Health,1991,,"Background: Benzodiazepine anti-anxiety agents are the most widely prescribed psychotherapeutic drugs in the United States today. Recent evidence, however, suggests that their use may be decreasing. Methods: We examine the population prevalence and correlates of use of benzodiazepine anxiolytics at the Duke site of the NIMH-sponsored Epidemiologic Catchment Area project. Results: Bivariate analysis of use patterns for the drugs revealed demographic predictors similar to those reported in previous studies: increased likelihood of use by the elderly, Whites, women, the less educated, and the separated or divorced. Use is also associated with symptoms of psychic distress, negative life events, use of health care services, and diagnoses of affective disorder, agoraphobia with panic, and panic disorder. Age, sex, race, education, and marital status remain associated with non-hypnotic benzodiazepine use in a logistic regression analysis. Conclusions: Multivariate analyses of these data indicate that when potential confounding factors are controlled, age, sex, race, education, and marital status are significantly related to benzodiazepine anxiolytic use but the effects of sex and education are mediated by intervening variables. Implications of these findings are discussed particularly in relation to high levels of use in the elderly.",False
