review_id,source_row_index,scopus_id,doi,title,journal,publication_year,design_title,design_abstract,design_strict,design_keywords,design_combined,design_combined_unambiguous,is_methodological,is_excluded_sensitivity,is_policy_analysis_eval,is_methods_qe,llm_policy_claim,keywords,abstract,manual_check1,manual_check2
DES-001,18494,SCOPUS_ID:84879781393,10.2105/ajph.2013.301458,A randomized trial of a hepatitis care coordination model in methadone maintenance treatment,American Journal Of Public Health,2013,Experimental,Experimental,Experimental,Other/None,Experimental,Experimental,False,False,False,False,False,,"Objectives. We evaluated the efficacy of a hepatitis care coordination intervention to improve linkage to hepatitis A virus (HAV) and hepatitis B virus (HBV) vaccination and clinical evaluation of hepatitis C virus (HCV) infection among methadone maintenance patients. Methods. We conducted a randomized controlled trial of 489 participants from methadone maintenance treatment programs in San Francisco, California, and New York City from February 2008 through June 2011. We randomized participants to a control arm (n = 245) and an intervention arm (n = 244), which included on-site screening, motivational-enhanced education and counseling, on-site vaccination, and case management services. Results. Compared with the control group, intervention group participants were significantly more likely (odds ratio [OR] = 41.8; 95% confidence interval [CI] = 19.4, 90.0) to receive their first vaccine dose within 30 days and to receive an HCV evaluation within 6 months (OR = 4.10; 95% CI = 2.35, 7.17). A combined intervention adherence outcome that measured adherence to HAV-HBV vaccination, HCV evaluation, or both strongly favored the intervention group (OR = 8.70; 95% CI = 5.56, 13.61). Conclusions. Hepatitis care coordination was efficacious in increasing adherence to HAV-HBV vaccination and HCV clinical evaluation among methadone patients.",,
DES-002,11590,SCOPUS_ID:85046675352,10.1016/j.amepre.2018.02.005,State Legislative Approach to Enumerating Behavioral Health Workforce Shortages: Lessons Learned in New Mexico,American Journal Of Preventive Medicine,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,False,False,False,False,,"Nationally, the behavioral health workforce is in crisis because of a lack of resources, culturally responsive services, quality clinical supervision, sufficient training in evidence-based practices, and targeted recruitment and retention. Disparities in access to behavioral health care are particularly significant in New Mexico, where 25% of the population live in rural areas, and behavioral health shortages are among the highest in the nation. Additionally, as a Medicaid expansion state, New Mexico providers experience increased demand for services at a time when the state is challenged with limited workforce capacity. To address this issue, the Health Care Work Force Data Collection, Analysis and Policy Act was legislatively enacted in 2011 to systematically survey all state licensed health professionals to determine reasons for the healthcare shortage and address the shortage through policy. The Act was amended in 2012 to transfer all data to the University of New Mexico Health Sciences Center. In 2015, a total of 4,488 behavioral health providers completed a survey as a mandatory part of their license renewal. Findings from the survey indicate a dearth of licensed behavioral health providers representative of the populations served, limited access to services via Medicaid and Medicare payer sources, limited access to providers working in public health settings, and limited access to Health Information Technology. This paper describes the workforce context in New Mexico, the purpose of the legislation, the analytic findings from the survey, the policies implemented as a result of these efforts, lessons learned, and a discussion of the relevancy of the New Mexico model for other states. Supplement information: This article is part of a supplement entitled The Behavioral Health Workforce: Planning, Practice, and Preparation, which is sponsored by the Substance Abuse and Mental Health Services Administration and the Health Resources and Services Administration of the U.S. Department of Health and Human Services.",,
DES-003,2012,SCOPUS_ID:2642668471,10.1093/oxfordjournals.aje.a009467,Differential misclassification and the assessment of gene-environment interactions in case-control studies,American Journal Of Epidemiology,1998,Other/None,Case-control,Case-control,Case-control,Case-control,Case-control,True,True,False,True,False,Case-control studies; Epidemiologic methods; Misclassification,"In case-control studies of interactions between genetic and environmental exposures, differential misclassification of the environmental exposure with respect to disease status can introduce spurious heterogeneity of the stratum-specific odds ratios. In this paper, the authors identify conditions under which differential misclassification does not introduce bias in the interaction parameter when no multiplicative interaction is present, and it biases the interaction parameter toward the null value when a multiplicative interaction is present. The conditions are that (i) conditional on potential confounders, the environmental exposure is independent of the genotype among the controls, and (ii) misclassification of the environmental exposure is nondifferential with respect to the genotype. These conditions can be tested from the misclassified data in the control group, since a test of the independence of the genotype and the misclassified environmental exposure among the controls is a test of the joint hypothesis that conditions (i) and (ii) are both true. Therefore, the authors propose a two-step test for interaction which first tests conditions (i) and (ii) and then goes on to test for interaction, provided the first step hypothesis is not rejected. A summary test procedure to test for gene-environment interactions in the presence of misclassification, based on both a conventional test for interaction and the two-step test, is recommended, and is illustrated with data from a case-control study of the role of diet as a modifier of the association between a metabolic polymorphism and lung cancer.",,
DES-004,33913,SCOPUS_ID:85070813724,10.1093/ije/dyz060,Unmasking herd protection by an oral cholera vaccine in a cluster-randomized trial,International Journal Of Epidemiology,2019,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,False,False,False,False,False,Cholera; cluster-randomized trial; fried-egg design; vaccine effectiveness,"Background: Several studies have shown that inactivated, whole-cell oral cholera vaccines (OCVs) confer both direct protection on vaccinees and herd protection on populations. Because our earlier cluster-randomized effectiveness trial (CRT) in urban Bangladesh failed to detect OCV herd protection, we reanalysed the trial to assess whether herd effects were masked in our original analysis. Methods: A total of 267 270 persons were randomized to 90 approximately equal-sized clusters. In 60 clusters persons aged 1 year and older were eligible to receive OCV and in 30 clusters persons received no intervention and served as controls. We analysed OCV protection against severely dehydrating cholera for the entire clusters, as in our original analysis, and for subclusters consisting of residents of innermost households. We hypothesized that if OCV herd protection was attenuated by cholera transmission into the clusters from the outside in this densely populated setting, herd protection would be most evident in the innermost households. Results: During 2 years of follow-up of all residents of the clusters, total protection (protection of OCV recipients relative to control residents) was 58% [95% confidence interval (CI): 43%, 70%; P<0.0001], indirect protection (protection of non-OCV recipients in OCV clusters relative to control participants) was 16% (95% CI: -20%, 41%; P=0.35) and overall OCV protection (protection of all residents in the OCV clusters relative to control residents) was 46% (95% CI: 30%, 59%; P<0.0001). Analyses of the inner 75% and 50% households of the clusters showed similar findings. However, total protection was 75% (95% CI: 50%, 87%, P<0.0001), indirect protection 52% (95% CI: -9%, 79%; P=0.08) and overall protection 72% (95% CI: 49%, 84%; P<0.0001) for the innermost 25% households. Conclusion: Consistent with past studies, substantial OCV herd protective effects were identified, but were unmasked only by analysing innermost households of the clusters. Caution is needed in defining clusters for analysis of vaccine herd effects in CRTs of vaccines.",,
DES-005,14023,SCOPUS_ID:0027233773,10.2105/ajph.83.5.711,Treatment for glaucoma: Adherence by the elderly,American Journal Of Public Health,1993,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,False,,"Objectives. The purpose of this study was to determine the extent of nonadherence to treatment for glaucoma among elderly patients. Methods. This was a retrospective cohort study of 2440 patients older than age 65 who were enrolled in the New Jersey Medicaid Program and who were newly initiated on a topical agent for the treatment of glaucoma. Two patient-specific measures of nonadherence were employed: (1) no filled prescription for any glaucoma medication over a 12-month period after the initiation of therapy and (2) number of days without therapy for glaucoma during this 12-month period. Results. By the first measure, 569 patients (23%) were found to be nonadherent. The mean number of days without therapy during the study year was 112. Factors associated with nonadherence included the use of glaucoma medication requiring more than 2 administrations per day and the presence of multiple other medications in the patient's drug regimen. Patients started on multiple glaucoma medications were more adherent than those started on a single agent. Age and sex were not found to be predictors of nonadherence. Conclusions. Substantial nonadherence was found to be common in this population. More attention to the issue of nonadherence could result in important benefits in the preservation of sight.",,
DES-006,1230,SCOPUS_ID:0029034410,10.1093/oxfordjournals.aje.a117619,Psychotropic drugs and risk of recurrent falls in ambulatory nursing home residents,American Journal Of Epidemiology,1995,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,True,Accidental falls; Aged; Nursing homes; Psychotropic drugs,"Although psychotropic drug use has been associated with increased risk of falls in long-term care settings, this association may be confounded by the high prevalence of dementia and depression and other fall risk factors. This question was addressed in a prospective cohort study of recurrent falls among 282 ambulatory residents of 12 Tennessee nursing homes during 1991-1992. Eligible subjects were ≥65 years of age, ambulatory, able to provide study data, and expected to remain in the nursing home for ≥3 months. Baseline data collected for each cohort member included symptoms of dementia (cognitive impairment and behavior problems) and depression, medication use, and other potential fall risk factors. Falls were ascertained from facility incident reports and nursing home charts. During follow-up, 111 residents had ≥2 falls, an incidence rate of 54.9 recurrent falls per 100 person-years. With the use of Cox proportional hazards modeling, the authors found incidence density ratios (95% confidence intervals (Cl)) showing that the following risk factors were independently associated with recurrent falls: age ≥75 years (1.66 (1.01-2.72)); ≥4 assisted activities of daily living (1.94 (1.09-3 47)); middle (2.08 (1 20-3.61)) and upper (2.54 (1.44-1.49)) tertiles of balance impairment; fall in the 90 days preceding assessment (2.01 (1.32-3.06)); and upper tertile of behavior problems (1.65 (1.03-2.64)). The rate of recurrent falls increased tenfold as the number of these risk factors increased from 0 to 5 (21.4 to 231.5 per 100 person-years, r{cyrillic} ≤0.0002). After controlling for symptoms of dementia and depression and other fall risk factors, the incidence density ratio for recurrent falls in baseline regular psychotropic drug users (n = 178) compared with nonusers (n = 104) was 1.97 (95%Cl 1.28%3.05). Within groups defined by number of other independent fall risk factors present, regular psychotropic users had a recurrent fall rate that was greater than that for nonusers: 44 1 versus 22.9 per 100 person-years (r{cyrillic} = 0.03) in the low nsk (>2 factors) groupand 98.7 versus 64.3 (r{cyrillic} = 0.08) in the high risk (>2 factors) group. The attributable risk of recurrent falls for regular psychotropic drug users was 36%, which suggests optimal management of psychopharmacotherapy is an essential component of fall prevention programs for ambulatory nursing home residents. © 1995 by The Johns Hopkins University School of Hygiene and Public Health.",,
DES-007,41092,SCOPUS_ID:12144290469,10.1016/j.ypmed.2003.11.005,Focus groups of Y-K Delta Alaska Natives: Attitudes toward tobacco use and tobacco dependence interventions,Preventive Medicine,2004,Other/None,Other/None,Other/None,Qualitative,Qualitative,Qualitative,False,False,False,False,False,Focus group; Intervention; Tobacco cessation; Tobacco use,"Background. Tobacco dependence interventions developed for Alaska Natives are virtually nonexistent. Alaska Natives residing on the Yukon-Kuskokwim (Y-K) Delta in southwestern Alaska use a unique form of smokeless tobacco (ST) known as Iqmik. This study employed focus group methodology to explore attitudes toward tobacco use and tobacco dependence interventions among Alaska Natives residing on the Y-K Delta. Methods. Twelve focus groups of former and current tobacco users were conducted in four villages in the Y-K Delta. Participants were 35 adults (83% female) and 22 adolescents (27% female). Participants completed a brief demographic and tobacco use history form. Statements from the focus groups were transcribed for content coding and analysis of the major themes. Results. Use of Iqmik in the villages is thought to be ubiquitous. Y-K Delta Alaska Natives are introduced to Iqmik at a very young age. Iqmik is mostly used and prepared by young Alaska Natives and adult women. There are few perceived adverse health effects of Iqmik or other tobacco use. Although there is interest in stopping, there is a perceived lack of availability of tobacco dependence interventions. The major barriers to preventing the initiation of and stopping tobacco use are the social acceptance and widespread use and availability of tobacco. Conclusion. The attitudes toward tobacco and identified barriers to stopping will be useful in developing tobacco dependence interventions for Alaska Natives. © 2003 The Institute For Cancer Prevention and Elsevier Inc. All rights reserved.",,
DES-008,34541,SCOPUS_ID:85166442516,10.1093/ije/dyad054,A longitudinal study evaluating adverse childhood experiences and obesity in adulthood using the Canadian Longitudinal Study on Aging (CLSA),International Journal Of Epidemiology,2023,Cohort,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,False,Adverse childhood experiences; CLSA; nutrition; obesity; stress,"Background: Adverse childhood experiences (ACEs) are a risk factor for obesity; however, the causal mechanisms are not well understood. Objectives were to measure the impact of ACEs on adulthood obesity and to investigate whether the association was mediated by nutrition and stress. Methods: A longitudinal study was conducted using adults aged 46–90 years (n = 26 615) from the Canadian Longitudinal Study on Aging. Participants were asked to recall ACEs from <18 years of age. Body mass index (BMI), waist circumference and per cent body fat were measured (2015–18) and obesity was defined using standard cut points. Nutrition was measured using data from the Short Diet Questionnaire and stress was measured using allostatic load. Multinomial logistic regression was used to estimate odds ratios (ORs) and 95% CIs for each obesity measure. Causal mediation methods were used to determine whether nutrition and stress were mediators. Results: There were 66% of adults who had experienced one or more ACE. The odds of obesity defined by BMI and waist circumference increased in a dose–response manner with increasing number of ACEs (P trend <0.001). For instance, adults with four to eight ACEs, compared with none, had greater odds of obesity, defined by BMI (adjusted OR: 1.54; 95% CI: 1.28–1.75) and waist circumference (adjusted OR: 1.30; 95% CI: 1.15–1.47). There was no evidence of mediation by stress or nutrition. Conclusions: Adversity experienced in early life is strongly associated with obesity among Canadian adults. Further research is needed to identify other mechanisms for this association to inform obesity prevention strategies.",,
DES-009,28429,SCOPUS_ID:84904963525,10.1093/eurpub/cku014,Association between economic fluctuations and road mortality in OECD countries,European Journal Of Public Health,2014,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,True,False,True,False,,"Using longitudinal data from 32 Organization for Economic Co-operation and Development (OECD) countries (1970-2010), this article investigates association between annual variations in road mortality and the economic fluctuations. Two regression models (fixed-effects and random-coefficients) were adopted for estimation. The cross-country data analyses suggested that road mortality is pro-cyclical and that the cyclicality is symmetric. Based on data from 32 OECD countries, an increase of on average 1% in economic growth is associated with a 1.1% increase in road mortality, and vice versa. © 2014 The Author.",,
DES-010,28971,SCOPUS_ID:85076307058,10.1093/eurpub/ckz024,The influence of patient case mix on public health area statistics for cancer stage at diagnosis: A cross-sectional study,European Journal Of Public Health,2019,Cross-sectional,Other/None,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,True,,"Background: Summary statistics comparing the stage at diagnosis of geographically defined populations of cancer patients are increasingly used in public reporting to monitor geographical inequalities but may be confounded by patient case mix. We explore the impact of case-mix adjustment on a publicly reported measure of early stage at diagnosis in England. Methods: We analyzed data used for publicly reported statistics about the stage of patients diagnosed with 1 of 11 solid tumours in 2015 in England, including information on cancer site (bladder, breast, colon, rectum, kidney, lung, melanoma, non-Hodgkin lymphoma, ovarian, prostate, endometrial), age, gender, income deprivation and population-based commissioning organization. We investigated how cancer site and other patient characteristics influence organizational comparisons and attainment of early-stage targets (≥60% of all cases diagnosed in TNM stages I-II). Results: Adjusting for patient case mix reduced between-organization variance by more than 50%, resulting in appreciable discordance in organizational ranks (Kendall's tau = 0.53), with 18% (37/207) of organizations being reclassified as meeting/failing the early-stage target due to case mix. Conclusion: Summary statistics on stage of cancer diagnosis for geographical populations currently used as public health surveillance tools to monitor organizational inequalities need to account for patient sociodemographic characteristics and cancer site case mix.",,
